PHONEPE EXPENSE ANALYSIS REPORT
Selected Months,August
Total Spent (INR),15431.00
Budget Limit (INR),10000.00
Budget Status,OVER BUDGET

CATEGORY BREAKDOWN
Category,Amount (INR),Percentage (%),Transactions Count
Shopping,4048.00,26.2%,3
Bills,3608.00,23.4%,5
Food,2565.00,16.6%,8
Travel,2320.00,15.0%,6
Store,1450.00,9.4%,1
Health,1440.00,9.3%,2

TRANSACTION DETAILS
ID,Date,Merchant,Category,Amount (INR)
1,2026-08-01,Swiggy,Food,350.00
2,2026-08-02,Uber Ride,Travel,180.00
3,2026-08-03,DMart Supermarket,Store,1450.00
4,2026-08-04,Zomato Food,Food,220.00
5,2026-08-05,Petrol Pump HPCL,Travel,600.00
6,2026-08-06,Amazon Purchase,Shopping,999.00
7,2026-08-07,Canteen Snacks,Food,60.00
8,2026-08-08,Mobile Recharge Jio,Bills,299.00
9,2026-08-10,Tea Stall,Food,40.00
10,2026-08-11,Flipkart Order,Shopping,1299.00
11,2026-08-12,Ola Mini Ride,Travel,215.00
12,2026-08-13,Electricity Bill Bescom,Bills,1850.00
13,2026-08-14,Restaurant Dinner,Food,850.00
14,2026-08-15,Broadband Wifi Bill Airtel,Bills,799.00
15,2026-08-16,Metro Card Recharge,Travel,500.00
16,2026-08-17,Myntra Fashion Shopping,Shopping,1750.00
17,2026-08-18,Rapido Bike Taxi,Travel,75.00
18,2026-08-19,Swiggy Instamart,Food,420.00
19,2026-08-20,Cinema Movie Ticket,Bills,350.00
20,2026-08-21,Petrol Pump BPCL,Travel,750.00
21,2026-08-22,Pharmacy Medical Store,Health,240.00
22,2026-08-23,Zomato Delivery,Food,540.00
23,2026-08-24,Water Bill Payment,Bills,310.00
24,2026-08-25,Gym Membership,Health,1200.00
25,2026-08-26,Canteen Lunch,Food,85.00
